SNname,pcov,dmstd
SN2013gh,[3.51933605e+02 2.11741030e+01 1.17312317e+00 2.25012880e-03],0.0
SN2013fw,[6.31326602e+03 1.90729142e+02 4.87060171e+00 5.90835593e-03],0.0
SN2013ex,[0.34822037 0.05330099 0.77430665 0.00085084],0.0
SN2013dy,[3.44946142e+00 5.65016144e-01 9.51892581e-02 1.34211382e-03],0.059
SN2013cs,[0.37851769 0.14716912 0.17999652 0.00239488],0.082
SN2013cg,[1.17621007e+03 1.11155892e+02 7.70484464e+01 5.55381340e-02],0.0
SN2013bs,[2.35420639e+03 1.70901942e+02 6.94896704e+02 3.55736003e-02],0.0
SN2013ag,[1.54723095e+03 1.36269915e+02 1.76861203e+02 1.15740600e-01],0.0
SN2013aa,[0.05032628 0.0253253  0.19670525 0.00035329],0.034
SN2013E,[5.04939962e+01 4.44197670e+00 1.61661927e+00 2.16522663e-03],0.0
LSQ12gdj,[2.39686151e+00 1.58443093e-01 2.11951954e+00 7.10864516e-04],0.0
SN2012ht,[0.06200607 0.03592558 0.03556077 0.00057698],0.048
SN2012hr,[1.10507545e+01 7.12829628e-01 2.86640299e+00 5.92099712e-04],0.041
SN2012fr,[0.16187045 0.10945535 0.02973442 0.00145463],0.086
SN2012dn,[2.20684985e+00 2.35245930e-01 4.17770067e+00 1.42990843e-03],0.093
SN2012cg,[0.14496593 0.06226192 0.01637542 0.00157801],0.068
SN2012Z,[3.67967763e+00 4.90823145e-01 4.36187440e+00 3.58405303e-03],0.0
SN2012V,[1.01884133e+01 7.20364782e-01 6.01503291e+00 2.07977416e-03],0.0
SN2011iv,[4.48006407e-02 2.15360386e-02 2.29446248e-01 1.41584617e-04],0.027
SN2011im,[5.96876156e+02 4.11730335e+01 8.87777339e+01 7.60096654e-03],0.0
SN2011ia,[1.59363509e+01 1.04226498e+00 1.02262700e+01 3.17615537e-03],0.0
SN2011hb,[9.96158841e+02 8.66836835e+01 3.37602563e+00 3.52755872e-02],0.0
SN2011fe,[5.44329401e-03 2.69287955e-03 2.33795425e-03 4.89041569e-05],0.013
SN2011ek,[4.82575307e+05 1.81757875e+04 8.31819920e+02 6.39330207e-03],0.0
SN2011eh,[1.88277948e+02 1.78690047e+01 1.99295053e+00 7.50852974e-03],0.0
SN2011dn,[3.62354142e+02 2.59244089e+01 7.54259815e+01 9.18599254e-03],0.0
SN2011dm,[2.36357273e+03 1.13581983e+02 3.76989423e+00 1.91152016e-03],0.0
SN2011by,[0.05197075 0.02607188 0.01617897 0.00054136],0.043
SN2011ao,[1.91221224e+00 2.95575162e-01 2.88028651e-02 8.23291299e-04],0.059
SN2011aa,[1.63209816e-01 1.34848152e-01 2.50348782e+00 1.53524142e-03],0.086
SN2011M,[1.89996326e+04 1.16614519e+03 4.42571175e+02 2.50632445e-02],0.0
SN2011B,[0.12281412 0.06311156 0.1553171  0.00153918],0.06
SN2010ko,[4.20893269e+05 1.45603626e+04 4.19396818e+02 6.79025147e-02],0.0
SN2010gp,[1.20497803e+03 8.87451250e+01 9.36077207e+01 1.45349345e-02],0.0
SN2010gn,[5.50779428e+03 3.04706552e+02 3.55567648e+01 8.40061851e-03],0.0
SN2010ev,[3.13624826e+01 2.02875873e+00 1.65597251e+01 3.17175687e-03],0.139
SN2010cr,[4.45140508e+01 3.31023397e+00 8.53713829e+01 2.12119080e-02],0.0
SN2010Y,[0.70386822 0.45285815 0.41325932 0.00178164],0.138
PTF10icb,[3.22223702 0.36420591 2.86580902 0.00470582],0.0
SN2009ig,[0.15710016 0.08086132 0.02516909 0.00116017],0.081
SN2009cz,[4.72909554e+00 7.01930654e-01 1.64023516e+00 2.38586322e-03],0.107
SN2009an,[5.37854335e+00 4.81692423e-01 1.24953989e+00 7.55527533e-04],0.049
SN2009Y,[0.2172451  0.08212958 0.16905083 0.00089478],0.06
SNF20080514002,[6.07384390e+00 5.75564509e-01 2.24510218e+00 6.24320895e-04],0.091
SN2008hv,[0.14720772 0.07145297 0.0477169  0.00104186],0.069
SN2008hs,[1.11093168e+02 9.60826414e+00 1.08294129e+00 2.94811221e-03],0.0
SN2008ec,[1.73201394e+02 1.83837943e+01 1.29310190e+00 9.11568246e-03],0.307
SN2008Q,[1.29200518e+00 1.40906192e-01 1.88068589e-01 3.25896749e-04],0.031
SN2007on,[0.04725162 0.04923199 0.20257117 0.00085629],0.043
SN2007cv,[2.46204999 0.56936388 2.63995031 0.007856  ],0.162
SN2007co,[inf inf inf inf],0.0
SN2007af,[0.20685161 0.05188659 0.03374864 0.00043967],0.05
SN2007S,[2.37519405e+04 2.40117698e+03 1.89926950e+02 9.10602613e-02],0.0
SN2006mr,[1.56685269e+03 9.96190965e+01 1.26010632e+02 1.35823303e-02],0.0
SN2006ej,[6.58483563e+00 1.39076174e+00 4.47048905e+01 4.25451245e-03],0.0
SN2006dm,[inf inf inf inf],0.0
SN2006X,[1.55655462 1.23689545 0.21529624 0.00629407],0.257
SN2005ke,[0.08190099 0.05875102 0.05383414 0.0013159 ],0.066
SN2005hk,[7.22649881e-01 4.23054774e-02 4.26521278e-01 1.64159330e-04],0.0
SN2005df,[0.0849612  0.08307924 0.10575769 0.00095903],0.08
SN2005cf,[0.07253813 0.01884183 0.01007731 0.00022181],0.031
SN2005am,[0.08589399 0.03348062 0.22042611 0.0005301 ],0.0
SN2020hvf,[0.49497136 0.30441034 0.08156134 0.00727439],0.163
SN2019np,[0.0874101  0.04404638 0.01610784 0.00085626],0.058
SN2018ilu,[0.20382099 0.06892141 0.02481549 0.00091317],0.069
SN2018aoz,[0.08792376 0.05440145 0.0722901  0.00079789],0.066
SN2017cbv,[0.14632021 0.0551914  0.01233898 0.00321433],0.069
SN2011fs,[inf inf inf inf],0.0
ASASSN-14eu,[inf inf inf inf],0.0
SN2013E,[5.04939962e+01 4.44197670e+00 1.61661927e+00 2.16522663e-03],0.0
SN2013gh,[3.51933605e+02 2.11741030e+01 1.17312317e+00 2.25012880e-03],0.0
SN2009dc,[3.29332808e+00 1.74979324e+00 2.45566139e+01 2.26365969e-02],0.0
SN2015I,[7.04612670e+02 3.18103040e+01 8.20931079e+00 6.69852012e-04],0.0
SN2017fzw,[0.79211559 0.34361545 0.1040682  0.0045377 ],0.123
