SNname,weight1,weight2,weight3,peak_mjd,peak_mag,peak_phase,dM15,resid
SN2012cg,-4.153031124487684,0.7262403637884697,-0.5021763734132317,56081.59709009009,12.143048391217391,0.08700308700025872,0.933,1
SN2012Z,-6.074594942387268,-0.6167779484336338,0.09912682345499603,55967.480777477474,14.707537751607765,0.09014645231215113,1.488,1
SN2012V,-9.120715560733515,0.4202226541921695,0.15581618044509993,55960.9295983984,14.932649966250201,0.09851473629807206,1.507,1
SN2011im,-9.862602886895209,1.5310292904058667,-0.7554404218369929,55903.18761321321,15.954842023152835,0.09607599725935634,1.234,1
SN2011ia,-6.310099363063614,1.365406984928135,-0.15028180621132825,55891.72497797798,15.208910487666566,0.10302058682541793,0.991,1
SN2011hb,-14.014909329630562,3.3997347171540224,-0.573652914924331,0.0,16.57955148263846,0.10144790076613397,0.0,0
SN2011fe,3.566972326391335,0.5662847097095589,1.225098117382384,0.0,12.877762587538824,2.525574425570332,0.0,0
SN2011ek,-11.002108437370785,0.9655313750168725,-0.8133945124870535,0.0,15.492528282232806,0.09112635023239601,0.0,0
SN2011eh,24.984921816163244,-12.593801894586065,3.6342464215544643,0.0,15.478304475616815,0.1105859583506481,0.0,0
SN2011dn,-4.701152732836018,0.6000909812871816,-0.277482899474569,55743.74091641642,16.2390893385372,0.07894284528317996,1.03,1
SN2011de,-2.102542798340234,0.9464899132850491,0.4263150376932287,55716.41337067067,15.93262827719869,0.6058024010390124,0.751,1
SN2011by,-5.627373401592841,0.5018799513475737,-0.27793836434768027,55691.063143643645,12.898088281340497,0.11280522796389647,1.139,1
SN2011ao,-5.7217120889666315,0.9521237295294215,0.059017454360071865,55640.07677627627,14.321126982680067,0.0957233197523717,1.056,1
SN2011aa,-1.48246196686104,0.5879685686993237,0.5087658379589413,55612.46877957958,14.782564535948303,0.5817980035409231,0.791,1
SN2011M,-40.59447878762089,8.563598044673693,-1.6687571830263344,0.0,16.69398546764182,0.09008123167286364,0.0,0
SN2011B,-6.65441707331967,0.23187639463188112,0.4274355008006639,55584.04574274275,12.869258534248583,0.1151669082035971,1.348,1
SN2010ko,-8.147819006092599,-1.6992396769951057,-0.21380538958433667,55544.8106029029,15.753122907691255,0.08970584445494012,1.93,1
SN2010kg,-7.116118125766678,0.11394774464690759,-0.743607103535428,55542.8132925926,15.973960785683756,0.08190028769923252,1.342,1
SN2010gp,-6.248572386067486,0.39739204989054483,-0.07210159486291527,55406.34382312313,16.420210986786714,0.11115539367270788,1.236,1
SN2010gn,-12.548256343378325,2.331186305637897,-0.6917758340680109,55391.01234594594,16.88820661724188,0.08913701346238234,1.281,1
SN2010ev,-7.240649775313842,0.46224210835322993,-0.2501697365492141,55384.496809009004,14.894024022793918,0.08603469673170494,1.298,1
SN2010cr,-6.792554457845528,-1.6523687100444768,-0.34265715040719896,55311.53319199199,16.714265185446965,0.09118590214311706,1.786,1
SN2010Y,-8.140869154915872,-2.8218266605584104,0.6047350505838267,55248.837008808805,14.945277082755258,0.10584451909535098,2.268,1
PTF10icb,-3.722046925383884,1.0402842040466647,1.3218285657472355,0.0,14.523071266985013,-2.301189296335622,0.0,0
SN2009ig,-3.7905718920454334,0.8386028030786484,-0.02131459024450656,55080.38568138138,13.533683120310345,0.11464953556337676,0.903,1
SN2009cz,-4.37033219208546,0.7320261915694891,0.15488901794378934,54943.38024424425,15.835573407784658,0.08838809426353311,0.995,1
SN2009an,-10.174377807890883,0.7807185072988462,-0.624017837553487,54898.43994014014,14.512573080716157,0.09904870182609304,1.461,1
SN2009Y,-5.4609653667491145,0.4809580033597673,-0.11029481143473698,54876.1994961962,14.433696349874683,0.07878711218371137,1.14,1
SNF20080514002,-7.161023590680829,0.09648147596886758,-0.23306124313621635,54612.1071049049,16.03807467506305,0.08522984824417623,1.385,1
SN2008hv,-6.8079769512793575,0.16024843818756254,-0.5403273310528028,54816.737336036036,14.784463349013455,0.06647190131888259,1.316,1
SN2008hs,-7.725929716488736,-1.6061888193376315,-0.42951306450071874,54812.417053153156,16.271626249203365,0.08559798736670032,1.854,1
SN2008ec,-6.021127547961745,0.22520833049013936,-0.5976842741353227,54673.550806706706,15.799767433575532,0.06969164045449006,1.224,1
SN2008Q,-16.390389562647115,3.124754438239281,-1.4327498203591864,54505.388446546545,13.796698340540212,0.08774458982647637,1.382,1
SN2007on,-7.3921971157608715,-1.6030567896024324,-0.45288801286705127,54419.29126276277,13.035704074417142,0.08077809420002957,1.821,1
SN2007cv,-8.07591141529769,-0.8478684455083971,-0.44787294878118583,54290.494719319315,15.219345803517392,0.08404694376383048,1.693,1
SN2007co,-6.017947520747784,1.129867592703282,0.990376671679962,54265.2833027027,16.885971011927435,1.0848600813190106,1.1,1
