sname,z,dm,w2mag,m2mag,w1mag,umag,bmag,vmag
SN2012Z,0.007125,1.4880000000000002,17.39316749572754,17.66290855407715,16.028152465820312,14.431979179382324,14.736960411071776,14.47698974609375
SN2012V,0.010964,1.507,17.7091007232666,18.39234733581543,16.216476440429688,14.577917098999025,14.975871086120605,14.981507301330565
SN2011ia,0.019,0.991,17.6549015045166,18.167461395263672,16.041511535644528,14.510814666748047,15.157611846923828,15.284789085388185
SN2011dn,0.025272,1.03,19.06600570678711,19.669736862182614,17.290340423583984,15.683374404907227,16.23831558227539,16.059404373168945
SN2011de,0.029187,0.7509999999999999,17.38276481628418,17.26180648803711,16.102846145629886,14.90053653717041,15.752084732055664,15.780718803405762
SN2011by,0.002843,1.1320000000000001,15.705354690551758,16.449943542480472,13.946682929992676,12.427413940429688,12.942630767822266,12.88558864593506
SN2011ao,0.010706,1.051,17.573400497436527,18.62793731689453,15.793606758117676,14.048355102539062,14.371810913085938,14.400813102722168
SN2011aa,0.012355,0.7909999999999999,16.308395385742188,16.056156158447266,15.082777976989744,14.029232025146484,14.742053985595705,14.696104049682615
SN2011B,0.0046700000000000005,1.348,15.669638633728027,16.327363967895508,13.987821578979492,12.403231620788574,12.871801376342773,12.805868148803713
SN2010gn,0.0365,1.281,19.792028427124023,20.14103126525879,18.283781051635746,16.698457717895508,16.862617492675778,16.925067901611328
SN2010ev,0.009211,1.298,18.284046173095703,19.407129287719727,16.57900047302246,15.017858505249025,14.974146842956545,14.577101707458494
SN2010Y,0.01086,2.2680000000000002,17.319047927856445,17.456018447875973,15.942232131958008,14.651204109191895,15.13790512084961,15.197250366210938
SN2009ig,0.00877,0.884,16.535686492919922,17.421119689941403,14.763296127319336,13.187507629394533,13.547062873840332,13.42534351348877
SN2009cz,0.021138,0.995,19.106571197509766,20.613189697265625,17.437625885009766,15.65394401550293,15.844802856445312,15.818939208984375
SN2009an,0.009233,1.4609999999999999,17.695526123046875,18.7530460357666,16.022075653076172,14.45256233215332,14.55241870880127,14.474327087402346
SN2009Y,0.009353,1.14,17.579498291015625,18.843713760375977,15.89340591430664,14.307994842529295,14.403949737548828,14.213680267333984
SN2008hv,0.012549,1.3159999999999998,17.54046630859375,18.318845748901367,15.857583999633787,14.335390090942385,14.858841896057127,14.897028923034668
SN2008hs,0.017369,1.854,19.15988540649414,19.703367233276367,17.738922119140625,16.195837020874027,16.372644424438473,16.291593551635742
SN2008Q,0.007935,1.382,16.369770050048828,16.844934463500973,14.734015464782715,13.319663047790527,13.794489860534668,13.70457649230957
SN2007on,0.006494,1.821,15.488378524780273,15.877720832824707,14.092723846435547,12.852466583251953,13.090814590454102,13.032388687133787
SN2007cv,0.007562,1.693,18.305444717407227,19.563337326049805,16.680131912231445,15.099421501159668,15.357369422912598,15.222317695617676
SN2007af,0.005464,1.208,16.357421875,17.028663635253903,14.63349151611328,13.093741416931152,13.295713424682615,13.156256675720215
SN2006ej,0.02045,1.393,18.75188636779785,18.710920333862305,17.144031524658207,15.55760669708252,15.867847442626953,15.822891235351562
SN2006dm,0.022019999999999998,1.44,19.016122817993164,19.31053352355957,17.581893920898438,15.985062599182127,16.245391845703125,16.166868209838867
SN2005ke,0.00488,1.784,18.17457771301269,18.714265823364254,16.780488967895508,15.280017852783205,14.87169361114502,14.165721893310547
SN2005cf,0.00646,1.046,16.839313507080078,18.508480072021484,15.07046127319336,13.469803810119627,13.60134983062744,13.511889457702635
SN2018aoz,0.005801,1.155,14.951924324035645,15.455424308776855,13.488418579101562,12.34064769744873,12.965699195861815,12.869959831237793
